PyIndex,Year,University,State,List_Tuition,Rank,Private,CPI,Southern,Lag_APGAF,Lag_AFSLAF,Lag_Applicants,MPGA,MUFSLA,Key
55,2015,University of Virginia-Main Campus,VA,15192.00,23,0,237,1,4414,5926,30840,5820,3500,University of Virginia-Main Campus 2015
56,2015,Wake Forest University,NC,47682.00,27,1,237,1,4185,6686,13281,5820,3500,Wake Forest University 2015
57,2015,Tufts University,MA,50604.00,27,1,237,0,4538,4440,19063,5820,3500,Tufts University 2015
58,2015,University of Michigan-Ann Arbor,MI,13856.00,29,0,237,0,4516,4928,51797,5820,3500,University of Michigan-Ann Arbor 2015
59,2015,University of North Carolina at Chapel Hill,NC,8591.00,30,0,237,1,4362,5579,31143,5820,3500,University of North Carolina at Chapel Hill 2015
60,2014,Princeton University,NJ,41820.00,1,1,236.7,0,4263,4223,26641,5790,3500,Princeton University 2014
61,2014,Harvard University,MA,43938.00,2,1,236.7,0,4739,4546,34295,5790,3500,Harvard University 2014
62,2014,Yale University,CT,45800.00,3,1,236.7,0,4181,5021,30932,5790,3500,Yale University 2014
63,2014,Columbia University in the City of New York,NY,51008.00,4,1,236.7,0,4368,5313,32967,5790,3500,Columbia University in the City of New York 2014
64,2014,University of Chicago,IL,49380.00,5,1,236.7,0,4253,4757,27500,5790,3500,University of Chicago 2014
65,2014,Stanford University,CA,45195.00,5,1,236.7,0,4559,5292,42167,5790,3500,Stanford University 2014
66,2014,Massachusetts Institute of Technology,MA,45016.00,7,1,236.7,0,4558,6233,18356,5790,3500,Massachusetts Institute of Technology 2014
67,2014,University of Pennsylvania,PA,47668.00,7,1,236.7,0,4387,4998,35866,5790,3500,University of Pennsylvania 2014
68,2014,Duke University,NC,47243.00,7,1,236.7,1,4242,4742,31523,5790,3500,Duke University 2014
69,2014,California Institute of Technology,CA,43362.00,10,1,236.7,0,3636,4301,6525,5790,3500,California Institute of Technology 2014
70,2014,Dartmouth College,NH,48108.00,10,1,236.7,0,4167,5415,19297,5790,3500,Dartmouth College 2014
71,2014,Johns Hopkins University,MD,47060.00,12,1,236.7,1,4285,4430,24590,5790,3500,Johns Hopkins University 2014
72,2014,Northwestern University,IL,47251.00,12,1,236.7,0,4354,4860,33674,5790,3500,Northwestern University 2014
73,2014,Brown University,RI,47434.00,14,1,236.7,0,4281,5384,30431,5790,3500,Brown University 2014
