School ,rank,year2,key,,,,
Clark University,83,2013,Clark University 2013,,,,
Miami University-Oxford,89,2013,Miami University-Oxford 2013,,,,
Marquette University,83,2013,Marquette University 2013,,,,
University of Massachusetts-Amherst,97,2013,University of Massachusetts-Amherst 2013,,,,
University of Tulsa,83,2013,University of Tulsa 2013,,,,
Texas Christian University,92,2013,Texas Christian University 2013,,,,
University of Denver,83,2013,University of Denver 2013,,,,
Binghamton University,89,2013,Binghamton University 2013,,,,
University of Vermont,92,2013,University of Vermont 2013,,,,
The University of Alabama,77,2013,The University of Alabama 2013,,,,
University of Colorado Boulder,97,2013,University of Colorado Boulder 2013,,,,
University of San Diego,92,2013,University of San Diego 2013,,,,
Drexel University,83,2013,Drexel University 2013,,,,
Saint Louis University,92,2013,Saint Louis University 2013,,,,
Auburn University,89,2013,Auburn University 2013,,,,
Stony Brook University,92,2013,Stony Brook University 2013,,,,
Florida State University,97,2013,Florida State University 2013,,,,
North Carolina State University at Raleigh,106,2013,North Carolina State University at Raleigh 2013,,,,
University of Missouri-Columbia,97,2013,University of Missouri-Columbia 2013,,,,
University of New Hampshire-Main Campus,106,2013,University of New Hampshire-Main Campus 2013,,,,
The University of Tennessee-Knoxville,101,2013,The University of Tennessee-Knoxville 2013,,,,
Iowa State University,101,2013,Iowa State University 2013,,,,
University of Oklahoma-Norman Campus,101,2013,University of Oklahoma-Norman Campus 2013,,,,
University of Nebraska-Lincoln,101,2013,University of Nebraska-Lincoln 2013,,,,
University at Buffalo,106,2013,University at Buffalo 2013,,,,
Loyola University Chicago,106,2013,Loyola University Chicago 2013,,,,
University of Oregon,115,2013,University of Oregon 2013,,,,
University of the Pacific,106,2013,University of the Pacific 2013,,,,
University of Kansas,106,2013,University of Kansas 2013,,,,
University of Dayton,115,2013,University of Dayton 2013,,,,
Illinois Institute of Technology,113,2013,Illinois Institute of Technology 2013,,,,
University of South Carolina-Columbia,115,2013,University of South Carolina-Columbia 2013,,,,
University of California-Riverside,101,2013,University of California-Riverside 2013,,,,
Michigan Technological University,120,2013,Michigan Technological University 2013,,,,
Catholic University of America,120,2013,Catholic University of America 2013,,,,
Clarkson University,115,2013,Clarkson University 2013,,,,
University of Arizona,120,2013,University of Arizona 2013,,,,
Howard University,120,2013,Howard University 2013,,,,
Colorado State University-Fort Collins,134,2013,Colorado State University-Fort Collins 2013,,,,
University of Kentucky,125,2013,University of Kentucky 2013,,,,
Arizona State University-Tempe,139,2013,Arizona State University-Tempe 2013,,,,
University of Arkansas,134,2013,University of Arkansas 2013,,,,
Princeton University,1,2012,Princeton University 2012,,,,
Harvard University,1,2012,Harvard University 2012,,,,
Yale University,3,2012,Yale University 2012,,,,
Columbia University in the City of New York,4,2012,Columbia University in the City of New York 2012,,,,
University of Chicago,5,2012,University of Chicago 2012,,,,
Stanford University,5,2012,Stanford University 2012,,,,
Massachusetts Institute of Technology,5,2012,Massachusetts Institute of Technology 2012,,,,
Pennsylvania State University-Main Campus,5,2012,Pennsylvania State University-Main Campus 2012,,,,
Duke University,10,2012,Duke University 2012,,,,
California Institute of Technology,5,2012,California Institute of Technology 2012,,,,
Dartmouth College,11,2012,Dartmouth College 2012,,,,
Johns Hopkins University,13,2012,Johns Hopkins University 2012,,,,
Northwestern University,12,2012,Northwestern University 2012,,,,
Brown University,15,2012,Brown University 2012,,,,
Cornell University,15,2012,Cornell University 2012,,,,
Washington University in St. Louis,14,2012,Washington University in St. Louis 2012,,,,
Vanderbilt University,17,2012,Vanderbilt University 2012,,,,
Rice University,17,2012,Rice University 2012,,,,
University of Notre Dame,19,2012,University of Notre Dame 2012,,,,
Emory University,20,2012,Emory University 2012,,,,
UC University of California-Berkeley,21,2012,UC University of California-Berkeley 2012,,,,
Georgetown University,22,2012,Georgetown University 2012,,,,
University of Southern California,23,2012,University of Southern California 2012,,,,
University of California-Los Angeles,25,2012,University of California-Los Angeles 2012,,,,
Carnegie Mellon University,23,2012,Carnegie Mellon University 2012,,,,
University of Virginia-Main Campus,25,2012,University of Virginia-Main Campus 2012,,,,
Wake Forest University,25,2012,Wake Forest University 2012,,,,
Tufts University,29,2012,Tufts University 2012,,,,
University of Michigan-Ann Arbor,28,2012,University of Michigan-Ann Arbor 2012,,,,
University of North Carolina at Chapel Hill,29,2012,University of North Carolina at Chapel Hill 2012,,,,
Boston College,31,2012,Boston College 2012,,,,
New York University,33,2012,New York University 2012,,,,
College of William and Mary,33,2012,College of William and Mary 2012,,,,
Brandeis University,31,2012,Brandeis University 2012,,,,
University of Rochester,35,2012,University of Rochester 2012,,,,
Georgia Institute of Technology-Main Campus,36,2012,Georgia Institute of Technology-Main Campus 2012,,,,
Case Western Reserve University,38,2012,Case Western Reserve University 2012,,,,
University of California-San Diego,37,2012,University of California-San Diego 2012,,,,
University of California-Santa Barbara,42,2012,University of California-Santa Barbara 2012,,,,
University of California-Davis,38,2012,University of California-Davis 2012,,,,
Lehigh University,38,2012,Lehigh University 2012,,,,
Rensselaer Polytechnic Institute,50,2012,Rensselaer Polytechnic Institute 2012,,,,
University of California-Irvine,45,2012,University of California-Irvine 2012,,,,
University of Wisconsin-Madison,42,2012,University of Wisconsin-Madison 2012,,,,
University of Illinois at Urbana-Champaign,45,2012,University of Illinois at Urbana-Champaign 2012,,,,
Boston University,53,2012,Boston University 2012,,,,
University of Miami,38,2012,University of Miami 2012,,,,
Pennsylvania State University-Main Campus State,45,2012,Pennsylvania State University-Main Campus State 2012,,,,
Tulane University of Louisiana,50,2012,Tulane University of Louisiana 2012,,,,
University of Washington-Seattle Campus ,42,2012,University of Washington-Seattle Campus  2012,,,,
University of Florida,58,2012,University of Florida 2012,,,,
Northeastern University,62,2012,Northeastern University 2012,,,,
The University of Texas at Austin,45,2012,The University of Texas at Austin 2012,,,,
Pepperdine University,55,2012,Pepperdine University 2012,,,,
George Washington University,50,2012,George Washington University 2012,,,,
Ohio State University-Main Campus,55,2012,Ohio State University-Main Campus 2012,,,,
Yeshiva University,45,2012,Yeshiva University 2012,,,,
Fordham University,53,2012,Fordham University 2012,,,,
University of Maryland-College Park,55,2012,University of Maryland-College Park 2012,,,,
Southern Methodist University,62,2012,Southern Methodist University 2012,,,,
University of Georgia,62,2012,University of Georgia 2012,,,,
Syracuse University,62,2012,Syracuse University 2012,,,,
University of Connecticut,58,2012,University of Connecticut 2012,,,,
Purdue University-Main Campus,62,2012,Purdue University-Main Campus 2012,,,,
Worcester Polytechnic Institute,62,2012,Worcester Polytechnic Institute 2012,,,,
University of Pittsburgh-Pittsburgh Campus,58,2012,University of Pittsburgh-Pittsburgh Campus 2012,,,,
Clemson University,68,2012,Clemson University 2012,,,,
Brigham Young University-Provo,71,2012,Brigham Young University-Provo 2012,,,,
Texas A & M University-College Station,58,2012,Texas A & M University-College Station 2012,,,,
University of Minnesota-Twin Cities,68,2012,University of Minnesota-Twin Cities 2012,,,,
Rutgers University-New Brunswick,68,2012,Rutgers University-New Brunswick 2012,,,,
Virginia Polytechnic Institute and State University,71,2012,Virginia Polytechnic Institute and State University 2012,,,,
Baylor University,75,2012,Baylor University 2012,,,,
American University,82,2012,American University 2012,,,,
University of Iowa,71,2012,University of Iowa 2012,,,,
University of Delaware,75,2012,University of Delaware 2012,,,,
Michigan State University,71,2012,Michigan State University 2012,,,,
Stevens Institute of Technology,88,2012,Stevens Institute of Technology 2012,,,,
Colorado School of Mines,75,2012,Colorado School of Mines 2012,,,,
Indiana University-Bloomington,75,2012,Indiana University-Bloomington 2012,,,,
UC University of California-Santa Cruz,75,2012,UC University of California-Santa Cruz 2012,,,,
Clark University,94,2012,Clark University 2012,,,,
Miami University-Oxford,90,2012,Miami University-Oxford 2012,,,,
Marquette University,82,2012,Marquette University 2012,,,,
University of Massachusetts-Amherst,94,2012,University of Massachusetts-Amherst 2012,,,,
University of Tulsa,75,2012,University of Tulsa 2012,,,,
Texas Christian University,97,2012,Texas Christian University 2012,,,,
University of Denver,82,2012,University of Denver 2012,,,,
Binghamton University,88,2012,Binghamton University 2012,,,,
University of Vermont,82,2012,University of Vermont 2012,,,,
The University of Alabama,75,2012,The University of Alabama 2012,,,,
University of Colorado Boulder,94,2012,University of Colorado Boulder 2012,,,,
University of San Diego,97,2012,University of San Diego 2012,,,,
Drexel University,88,2012,Drexel University 2012,,,,
Saint Louis University,88,2012,Saint Louis University 2012,,,,
Auburn University,82,2012,Auburn University 2012,,,,
Stony Brook University,111,2012,Stony Brook University 2012,,,,
Florida State University,101,2012,Florida State University 2012,,,,
North Carolina State University at Raleigh,101,2012,North Carolina State University at Raleigh 2012,,,,
University of Missouri-Columbia,90,2012,University of Missouri-Columbia 2012,,,,
University of New Hampshire-Main Campus,101,2012,University of New Hampshire-Main Campus 2012,,,,
The University of Tennessee-Knoxville,101,2012,The University of Tennessee-Knoxville 2012,,,,
Iowa State University,94,2012,Iowa State University 2012,,,,
University of Oklahoma-Norman Campus,101,2012,University of Oklahoma-Norman Campus 2012,,,,
University of Nebraska-Lincoln,101,2012,University of Nebraska-Lincoln 2012,,,,
University at Buffalo,111,2012,University at Buffalo 2012,,,,
Loyola University Chicago,119,2012,Loyola University Chicago 2012,,,,
University of Oregon,101,2012,University of Oregon 2012,,,,
University of the Pacific,101,2012,University of the Pacific 2012,,,,
University of Kansas,101,2012,University of Kansas 2012,,,,
University of Dayton,101,2012,University of Dayton 2012,,,,
Illinois Institute of Technology,111,2012,Illinois Institute of Technology 2012,,,,
University of South Carolina-Columbia,111,2012,University of South Carolina-Columbia 2012,,,,
University of California-Riverside,97,2012,University of California-Riverside 2012,,,,
Michigan Technological University,111,2012,Michigan Technological University 2012,,,,
Catholic University of America,119,2012,Catholic University of America 2012,,,,
Clarkson University,119,2012,Clarkson University 2012,,,,
University of Arizona,124,2012,University of Arizona 2012,,,,
Howard University,111,2012,Howard University 2012,,,,
Colorado State University-Fort Collins,128,2012,Colorado State University-Fort Collins 2012,,,,
University of Kentucky,124,2012,University of Kentucky 2012,,,,
Arizona State University-Tempe,132,2012,Arizona State University-Tempe 2012,,,,
University of Arkansas,132,2012,University of Arkansas 2012,,,,
Princeton University,2,2011,Princeton University 2011,,,,
Harvard University,1,2011,Harvard University 2011,,,,
Yale University,3,2011,Yale University 2011,,,,
Columbia University in the City of New York,4,2011,Columbia University in the City of New York 2011,,,,
University of Chicago,9,2011,University of Chicago 2011,,,,
Stanford University,5,2011,Stanford University 2011,,,,
Massachusetts Institute of Technology,7,2011,Massachusetts Institute of Technology 2011,,,,
Pennsylvania State University-Main Campus,5,2011,Pennsylvania State University-Main Campus 2011,,,,
Duke University,9,2011,Duke University 2011,,,,
California Institute of Technology,7,2011,California Institute of Technology 2011,,,,
Dartmouth College,9,2011,Dartmouth College 2011,,,,
Johns Hopkins University,13,2011,Johns Hopkins University 2011,,,,
Northwestern University,12,2011,Northwestern University 2011,,,,
Brown University,15,2011,Brown University 2011,,,,
Cornell University,15,2011,Cornell University 2011,,,,
Washington University in St. Louis,13,2011,Washington University in St. Louis 2011,,,,
Vanderbilt University,17,2011,Vanderbilt University 2011,,,,
Rice University,17,2011,Rice University 2011,,,,
University of Notre Dame,19,2011,University of Notre Dame 2011,,,,
Emory University,20,2011,Emory University 2011,,,,
UC University of California-Berkeley,22,2011,UC University of California-Berkeley 2011,,,,
Georgetown University,21,2011,Georgetown University 2011,,,,
University of Southern California,23,2011,University of Southern California 2011,,,,
University of California-Los Angeles,25,2011,University of California-Los Angeles 2011,,,,
Carnegie Mellon University,23,2011,Carnegie Mellon University 2011,,,,
University of Virginia-Main Campus,25,2011,University of Virginia-Main Campus 2011,,,,
Wake Forest University,25,2011,Wake Forest University 2011,,,,
Tufts University,28,2011,Tufts University 2011,,,,
University of Michigan-Ann Arbor,29,2011,University of Michigan-Ann Arbor 2011,,,,
North Carolina,30,2011,North Carolina 2011,,,,
Boston College,31,2011,Boston College 2011,,,,
Brandeis University,34,2011,Brandeis University 2011,,,,
College of William and Mary,31,2011,College of William and Mary 2011,,,,
New York University,33,2011,New York University 2011,,,,
University of Rochester,37,2011,University of Rochester 2011,,,,
Georgia Institute of Technology-Main Campus,35,2011,Georgia Institute of Technology-Main Campus 2011,,,,
University of California-San Diego,35,2011,University of California-San Diego 2011,,,,
Lehigh University,37,2011,Lehigh University 2011,,,,
Case Western Reserve University,41,2011,Case Western Reserve University 2011,,,,
University of California-Davis,39,2011,University of California-Davis 2011,,,,
University of Wisconsin-Madison,45,2011,University of Wisconsin-Madison 2011,,,,
University of California-Santa Barbara,39,2011,University of California-Santa Barbara 2011,,,,
University of Illinois at Urbana-Champaign,47,2011,University of Illinois at Urbana-Champaign 2011,,,,
Rensselaer Polytechnic Institute,41,2011,Rensselaer Polytechnic Institute 2011,,,,
University of Washington-Seattle Campus,41,2011,University of Washington-Seattle Campus 2011,,,,
University of California-Irvine,41,2011,University of California-Irvine 2011,,,,
Pennsylvania State University-Main Campus State,47,2011,Pennsylvania State University-Main Campus State 2011,,,,
University of Miami,47,2011,University of Miami 2011,,,,
The University of Texas at Austin,45,2011,The University of Texas at Austin 2011,,,,
Yeshiva University,50,2011,Yeshiva University 2011,,,,
University of Florida,53,2011,University of Florida 2011,,,,
Tulane University of Louisiana,51,2011,Tulane University of Louisiana 2011,,,,
Boston University,56,2011,Boston University 2011,,,,
George Washington University,51,2011,George Washington University 2011,,,,
Ohio State University-Main Campus,56,2011,Ohio State University-Main Campus 2011,,,,
Pepperdine University,53,2011,Pepperdine University 2011,,,,
University of Maryland-College Park,56,2011,University of Maryland-College Park 2011,,,,
Syracuse University,55,2011,Syracuse University 2011,,,,
Fordham University,56,2011,Fordham University 2011,,,,
University of Pittsburgh-Pittsburgh Campus,64,2011,University of Pittsburgh-Pittsburgh Campus 2011,,,,
University of Georgia,56,2011,University of Georgia 2011,,,,
Southern Methodist University,56,2011,Southern Methodist University 2011,,,,
University of Connecticut,69,2011,University of Connecticut 2011,,,,
Purdue University-Main Campus,56,2011,Purdue University-Main Campus 2011,,,,
Texas A & M University-College Station,63,2011,Texas A & M University-College Station 2011,,,,
Clemson University,64,2011,Clemson University 2011,,,,
Worcester Polytechnic Institute,64,2011,Worcester Polytechnic Institute 2011,,,,
Rutgers University-New Brunswick,64,2011,Rutgers University-New Brunswick 2011,,,,
University of Minnesota-Twin Cities,64,2011,University of Minnesota-Twin Cities 2011,,,,
Northeastern University,69,2011,Northeastern University 2011,,,,
University of Iowa,72,2011,University of Iowa 2011,,,,
Virginia Polytechnic Institute and State University,69,2011,Virginia Polytechnic Institute and State University 2011,,,,
University of Delaware,75,2011,University of Delaware 2011,,,,
Michigan State University,79,2011,Michigan State University 2011,,,,
Brigham Young University-Provo,75,2011,Brigham Young University-Provo 2011,,,,
Indiana University-Bloomington,75,2011,Indiana University-Bloomington 2011,,,,
Baylor University,79,2011,Baylor University 2011,,,,
Miami University-Oxford,79,2011,Miami University-Oxford 2011,,,,
Marquette University,75,2011,Marquette University 2011,,,,
Colorado School of Mines,72,2011,Colorado School of Mines 2011,,,,
American University,79,2011,American University 2011,,,,
UC University of California-Santa Cruz,72,2011,UC University of California-Santa Cruz 2011,,,,
Stevens Institute of Technology,86,2011,Stevens Institute of Technology 2011,,,,
Clark University,86,2011,Clark University 2011,,,,
The University of Alabama,79,2011,The University of Alabama 2011,,,,
University of Colorado Boulder,86,2011,University of Colorado Boulder 2011,,,,
Binghamton University,86,2011,Binghamton University 2011,,,,
University of Tulsa,93,2011,University of Tulsa 2011,,,,
University of Denver,86,2011,University of Denver 2011,,,,
University of Vermont,94,2011,University of Vermont 2011,,,,
Saint Louis University,86,2011,Saint Louis University 2011,,,,
Auburn University,85,2011,Auburn University 2011,,,,
Drexel University,86,2011,Drexel University 2011,,,,
Iowa State University,94,2011,Iowa State University 2011,,,,
Stony Brook University,99,2011,Stony Brook University 2011,,,,
University of Massachusetts-Amherst,99,2011,University of Massachusetts-Amherst 2011,,,,
University of Missouri-Columbia,94,2011,University of Missouri-Columbia 2011,,,,
North Carolina State University at Raleigh,111,2011,North Carolina State University at Raleigh 2011,,,,
Texas Christian University,99,2011,Texas Christian University 2011,,,,
University of Nebraska-Lincoln,104,2011,University of Nebraska-Lincoln 2011,,,,
University of Kansas,104,2011,University of Kansas 2011,,,,
University of San Diego,94,2011,University of San Diego 2011,,,,
University of California-Riverside,94,2011,University of California-Riverside 2011,,,,
Florida State University,104,2011,Florida State University 2011,,,,
The University of Tennessee-Knoxville,104,2011,The University of Tennessee-Knoxville 2011,,,,
University of New Hampshire-Main Campus,104,2011,University of New Hampshire-Main Campus 2011,,,,
University of Oklahoma-Norman Campus,111,2011,University of Oklahoma-Norman Campus 2011,,,,
University of the Pacific,99,2011,University of the Pacific 2011,,,,
University of Dayton,99,2011,University of Dayton 2011,,,,
Illinois Institute of Technology,111,2011,Illinois Institute of Technology 2011,,,,
University of Oregon,111,2011,University of Oregon 2011,,,,
University of South Carolina-Columbia,111,2011,University of South Carolina-Columbia 2011,,,,
Loyola University Chicago,117,2011,Loyola University Chicago 2011,,,,
University of Arizona,120,2011,University of Arizona 2011,,,,
University at Buffalo,120,2011,University at Buffalo 2011,,,,
Howard University,104,2011,Howard University 2011,,,,
Catholic University of America,120,2011,Catholic University of America 2011,,,,
Michigan Technological University,117,2011,Michigan Technological University 2011,,,,
University of Washington-Seattle Campus St,111,2011,University of Washington-Seattle Campus St 2011,,,,
Clarkson University,124,2011,Clarkson University 2011,,,,
Ohio Univ,124,2011,Ohio Univ 2011,,,,
University of Kentucky,129,2011,University of Kentucky 2011,,,,
Colorado State University-Fort Collins,124,2011,Colorado State University-Fort Collins 2011,,,,
University of Arkansas,132,2011,University of Arkansas 2011,,,,
Arizona State University-Tempe,143,2011,Arizona State University-Tempe 2011,,,,
Princeton University,1,2010,Princeton University 2010,,,,
Harvard University,1,2010,Harvard University 2010,,,,
Yale University,3,2010,Yale University 2010,,,,
Columbia University in the City of New York,8,2010,Columbia University in the City of New York 2010,,,,
University of Chicago,8,2010,University of Chicago 2010,,,,
Stanford University,4,2010,Stanford University 2010,,,,
Massachusetts Institute of Technology,4,2010,Massachusetts Institute of Technology 2010,,,,
Pennsylvania State University-Main Campus,4,2010,Pennsylvania State University-Main Campus 2010,,,,
Duke University,10,2010,Duke University 2010,,,,
California Institute of Technology,4,2010,California Institute of Technology 2010,,,,
Dartmouth College,11,2010,Dartmouth College 2010,,,,
Johns Hopkins University,14,2010,Johns Hopkins University 2010,,,,
Northwestern University,12,2010,Northwestern University 2010,,,,
Brown University,16,2010,Brown University 2010,,,,
Cornell University,15,2010,Cornell University 2010,,,,
Washington University in St. Louis,12,2010,Washington University in St. Louis 2010,,,,
Vanderbilt University,17,2010,Vanderbilt University 2010,,,,
Rice University,17,2010,Rice University 2010,,,,
University of Notre Dame,20,2010,University of Notre Dame 2010,,,,
Emory University,17,2010,Emory University 2010,,,,
UC University of California-Berkeley,21,2010,UC University of California-Berkeley 2010,,,,
Georgetown University,23,2010,Georgetown University 2010,,,,
University of Southern California,26,2010,University of Southern California 2010,,,,
University of California-Los Angeles,24,2010,University of California-Los Angeles 2010,,,,
Carnegie Mellon University,22,2010,Carnegie Mellon University 2010,,,,
University of Virginia-Main Campus,24,2010,University of Virginia-Main Campus 2010,,,,
Wake Forest University,28,2010,Wake Forest University 2010,,,,
Tufts University,28,2010,Tufts University 2010,,,,
University of Michigan-Ann Arbor,27,2010,University of Michigan-Ann Arbor 2010,,,,
North Carolina,28,2010,North Carolina 2010,,,,
Boston College,34,2010,Boston College 2010,,,,
Brandeis University,31,2010,Brandeis University 2010,,,,
College of William and Mary,33,2010,College of William and Mary 2010,,,,
New York University,32,2010,New York University 2010,,,,
University of Rochester,35,2010,University of Rochester 2010,,,,
Georgia Institute of Technology-Main Campus,35,2010,Georgia Institute of Technology-Main Campus 2010,,,,
University of California-San Diego,35,2010,University of California-San Diego 2010,,,,
Lehigh University,35,2010,Lehigh University 2010,,,,
Case Western Reserve University,41,2010,Case Western Reserve University 2010,,,,
University of California-Davis,42,2010,University of California-Davis 2010,,,,
University of Wisconsin-Madison,39,2010,University of Wisconsin-Madison 2010,,,,
University of California-Santa Barbara,42,2010,University of California-Santa Barbara 2010,,,,
University of Illinois at Urbana-Champaign,39,2010,University of Illinois at Urbana-Champaign 2010,,,,
Rensselaer Polytechnic Institute,42,2010,Rensselaer Polytechnic Institute 2010,,,,
University of Washington-Seattle Campus,42,2010,University of Washington-Seattle Campus 2010,,,,
University of California-Irvine,46,2010,University of California-Irvine 2010,,,,
Pennsylvania State University-Main Campus State,47,2010,Pennsylvania State University-Main Campus State 2010,,,,
University of Miami,50,2010,University of Miami 2010,,,,
The University of Texas at Austin,47,2010,The University of Texas at Austin 2010,,,,
Yeshiva University,52,2010,Yeshiva University 2010,,,,
University of Florida,47,2010,University of Florida 2010,,,,
Tulane University of Louisiana,50,2010,Tulane University of Louisiana 2010,,,,
Boston University,56,2010,Boston University 2010,,,,
George Washington University,53,2010,George Washington University 2010,,,,
Ohio State University-Main Campus,53,2010,Ohio State University-Main Campus 2010,,,,
Pepperdine University,58,2010,Pepperdine University 2010,,,,
University of Maryland-College Park,53,2010,University of Maryland-College Park 2010,,,,
Syracuse University,58,2010,Syracuse University 2010,,,,
Fordham University,61,2010,Fordham University 2010,,,,
University of Pittsburgh-Pittsburgh Campus,56,2010,University of Pittsburgh-Pittsburgh Campus 2010,,,,
University of Georgia,58,2010,University of Georgia 2010,,,,
Southern Methodist University,68,2010,Southern Methodist University 2010,,,,
University of Connecticut,66,2010,University of Connecticut 2010,,,,
Purdue University-Main Campus,61,2010,Purdue University-Main Campus 2010,,,,
Texas A & M University-College Station,61,2010,Texas A & M University-College Station 2010,,,,
Clemson University,61,2010,Clemson University 2010,,,,
Worcester Polytechnic Institute,68,2010,Worcester Polytechnic Institute 2010,,,,
Rutgers University-New Brunswick,66,2010,Rutgers University-New Brunswick 2010,,,,
University of Minnesota-Twin Cities,61,2010,University of Minnesota-Twin Cities 2010,,,,
Northeastern University,80,2010,Northeastern University 2010,,,,
University of Iowa,71,2010,University of Iowa 2010,,,,
Virginia Polytechnic Institute and State University,71,2010,Virginia Polytechnic Institute and State University 2010,,,,
University of Delaware,68,2010,University of Delaware 2010,,,,
Michigan State University,71,2010,Michigan State University 2010,,,,
Brigham Young University-Provo,71,2010,Brigham Young University-Provo 2010,,,,
Indiana University-Bloomington,71,2010,Indiana University-Bloomington 2010,,,,
Baylor University,80,2010,Baylor University 2010,,,,
Miami University-Oxford,77,2010,Miami University-Oxford 2010,,,,
Marquette University,84,2010,Marquette University 2010,,,,
Colorado School of Mines,77,2010,Colorado School of Mines 2010,,,,
American University,84,2010,American University 2010,,,,
UC University of California-Santa Cruz,71,2010,UC University of California-Santa Cruz 2010,,,,
Stevens Institute of Technology,84,2010,Stevens Institute of Technology 2010,,,,
Clark University,88,2010,Clark University 2010,,,,
The University of Alabama,96,2010,The University of Alabama 2010,,,,
University of Colorado Boulder,77,2010,University of Colorado Boulder 2010,,,,
Binghamton University,80,2010,Binghamton University 2010,,,,
University of Tulsa,88,2010,University of Tulsa 2010,,,,
University of Denver,84,2010,University of Denver 2010,,,,
University of Vermont,88,2010,University of Vermont 2010,,,,
Saint Louis University,84,2010,Saint Louis University 2010,,,,
Auburn University,88,2010,Auburn University 2010,,,,
Drexel University,88,2010,Drexel University 2010,,,,
Iowa State University,88,2010,Iowa State University 2010,,,,
Stony Brook University,96,2010,Stony Brook University 2010,,,,
University of Massachusetts-Amherst,106,2010,University of Massachusetts-Amherst 2010,,,,
University of Missouri-Columbia,102,2010,University of Missouri-Columbia 2010,,,,
North Carolina State University at Raleigh,88,2010,North Carolina State University at Raleigh 2010,,,,
Texas Christian University,110,2010,Texas Christian University 2010,,,,
University of Nebraska-Lincoln,96,2010,University of Nebraska-Lincoln 2010,,,,
University of Kansas,96,2010,University of Kansas 2010,,,,
University of San Diego,110,2010,University of San Diego 2010,,,,
University of California-Riverside,96,2010,University of California-Riverside 2010,,,,
Florida State University,102,2010,Florida State University 2010,,,,
The University of Tennessee-Knoxville,106,2010,The University of Tennessee-Knoxville 2010,,,,
University of New Hampshire-Main Campus,110,2010,University of New Hampshire-Main Campus 2010,,,,
University of Oklahoma-Norman Campus,102,2010,University of Oklahoma-Norman Campus 2010,,,,
University of the Pacific,115,2010,University of the Pacific 2010,,,,
University of Dayton,110,2010,University of Dayton 2010,,,,
Illinois Institute of Technology,106,2010,Illinois Institute of Technology 2010,,,,
University of Oregon,115,2010,University of Oregon 2010,,,,
University of South Carolina-Columbia,110,2010,University of South Carolina-Columbia 2010,,,,
Loyola University Chicago,119,2010,Loyola University Chicago 2010,,,,
University of Arizona,102,2010,University of Arizona 2010,,,,
University at Buffalo,121,2010,University at Buffalo 2010,,,,
Howard University,96,2010,Howard University 2010,,,,
Catholic University of America,121,2010,Catholic University of America 2010,,,,
Michigan Technological University,121,2010,Michigan Technological University 2010,,,,
University of Washington-Seattle Campus St,106,2010,University of Washington-Seattle Campus St 2010,,,,
Clarkson University,119,2010,Clarkson University 2010,,,,
Ohio Univ,115,2010,Ohio Univ 2010,,,,
University of Kentucky,128,2010,University of Kentucky 2010,,,,
Colorado State University-Fort Collins,128,2010,Colorado State University-Fort Collins 2010,,,,
University of Arkansas,128,2010,University of Arkansas 2010,,,,
Arizona State University-Tempe,121,2010,Arizona State University-Tempe 2010,,,,
Princeton University,2,2009,Princeton University 2009,,,,
Harvard University,1,2009,Harvard University 2009,,,,
Yale University,3,2009,Yale University 2009,,,,
Columbia University in the City of New York,8,2009,Columbia University in the City of New York 2009,,,,
University of Chicago,8,2009,University of Chicago 2009,,,,
Stanford University,4,2009,Stanford University 2009,,,,
Massachusetts Institute of Technology,4,2009,Massachusetts Institute of Technology 2009,,,,
Pennsylvania State University-Main Campus,6,2009,Pennsylvania State University-Main Campus 2009,,,,
Duke University,8,2009,Duke University 2009,,,,
California Institute of Technology,6,2009,California Institute of Technology 2009,,,,
Dartmouth College,11,2009,Dartmouth College 2009,,,,
Johns Hopkins University,15,2009,Johns Hopkins University 2009,,,,
Northwestern University,12,2009,Northwestern University 2009,,,,
Brown University,16,2009,Brown University 2009,,,,
Cornell University,14,2009,Cornell University 2009,,,,
Washington University in St. Louis,12,2009,Washington University in St. Louis 2009,,,,
Vanderbilt University,18,2009,Vanderbilt University 2009,,,,
Rice University,17,2009,Rice University 2009,,,,
University of Notre Dame,18,2009,University of Notre Dame 2009,,,,
Emory University,18,2009,Emory University 2009,,,,
UC University of California-Berkeley,21,2009,UC University of California-Berkeley 2009,,,,
Georgetown University,23,2009,Georgetown University 2009,,,,
University of Southern California,27,2009,University of Southern California 2009,,,,
University of California-Los Angeles,25,2009,University of California-Los Angeles 2009,,,,
Carnegie Mellon University,22,2009,Carnegie Mellon University 2009,,,,
University of Virginia-Main Campus,23,2009,University of Virginia-Main Campus 2009,,,,
Wake Forest University,28,2009,Wake Forest University 2009,,,,
Tufts University,28,2009,Tufts University 2009,,,,
University of Michigan-Ann Arbor,26,2009,University of Michigan-Ann Arbor 2009,,,,
North Carolina,30,2009,North Carolina 2009,,,,
Boston College,34,2009,Boston College 2009,,,,
Brandeis University,31,2009,Brandeis University 2009,,,,
College of William and Mary,32,2009,College of William and Mary 2009,,,,
New York University,33,2009,New York University 2009,,,,
University of Rochester,35,2009,University of Rochester 2009,,,,
Georgia Institute of Technology-Main Campus,35,2009,Georgia Institute of Technology-Main Campus 2009,,,,
University of California-San Diego,35,2009,University of California-San Diego 2009,,,,
Lehigh University,35,2009,Lehigh University 2009,,,,
Case Western Reserve University,41,2009,Case Western Reserve University 2009,,,,
University of California-Davis,44,2009,University of California-Davis 2009,,,,
University of Wisconsin-Madison,35,2009,University of Wisconsin-Madison 2009,,,,
